公司代號,公司名稱,當月營收,上月營收,上上月營收,上上上月營收,MOM,去年同期營收,YOY
程式執行時間,2021-08-04 00:31:36AM
,110年度,6月
2106,建大,"3,043,061","3,009,523","3,107,767","3,287,370",1.11,"2,539,476",19.83
2107,厚生,"98,626","246,796","232,755","314,978",-60.04,"205,887",-52.1
2108,南帝,"2,174,738","2,400,094","2,628,840","2,440,735",-9.39,"781,948",178.12
2109,華豐,"427,058","491,349","445,936","502,681",-13.08,"382,416",11.67
2114,鑫永銓,"168,092","167,561","166,373","163,946",0.32,"133,306",26.09
2115,六暉-KY,"283,881","279,196","296,464","349,609",1.68,"177,719",59.74
2201,裕隆,"5,361,403","6,103,777","5,907,703","7,288,188",-12.16,"7,190,029",-25.43
2204,中華,"2,180,119","2,749,367","2,621,175","2,725,690",-20.7,"2,691,858",-19.01
2206,三陽工業,"2,987,781","3,527,776","3,712,547","3,676,163",-15.31,"3,392,090",-11.92
2207,和泰車,"22,781,021","21,335,761","20,954,091","22,342,701",6.77,"20,715,699",9.97
2208,台船,"1,666,583","2,124,861","1,111,284","1,296,458",-21.57,"2,424,749",-31.27
2211,長榮鋼,"963,484","849,579","788,423","1,200,293",13.41,"733,942",31.28
2227,裕日車,"1,244,310","2,316,993","2,590,565","2,564,616",-46.3,"2,306,248",-46.05
2228,劍麟,"298,224","279,701","303,370","379,937",6.62,"161,378",84.8
2231,為升,"220,897","362,536","402,870","444,133",-39.07,"217,740",1.45
2233,宇隆,"278,277","291,320","309,068","284,093",-4.48,"194,303",43.22
2236,百達-KY,"133,152","113,038","92,363","114,902",17.79,"63,400",110.02
2239,英利-KY,"1,820,107","1,744,061","1,866,501","1,324,061",4.36,"1,718,581",5.91
2241,艾姆勒,"96,028","86,067","85,375","86,599",11.57,"58,737",63.49
2243,宏旭-KY,"137,950","93,197","49,519","162,410",48.02,"350,202",-60.61
2247,汎德永業,"3,779,161","4,157,667","4,073,587","3,858,031",-9.1,"3,319,630",13.84
2250,IKKA-KY,"309,991","291,706","306,118",0,6.27,"262,244",18.21
2301,光寶科,"13,480,059","13,554,054","13,642,841","13,238,485",-0.55,"14,287,458",-5.65
2302,麗正,"58,945","65,627","65,856","59,434",-10.18,"52,635",11.99
2303,聯電,"17,336,613","17,189,070","16,382,058","16,619,555",0.86,"14,581,494",18.89
2305,全友,"53,739","52,769","53,021","49,460",1.84,"61,285",-12.31
2308,台達電,"26,204,497","26,126,461","26,438,926","27,025,895",0.3,"23,812,690",10.04
2312,金寶,"10,233,114","9,688,771","11,601,677","12,131,724",5.62,"10,811,256",-5.35
2313,華通,"3,781,776","4,055,147","4,520,054","4,527,394",-6.74,"4,417,434",-14.39
2314,台揚,"374,577","316,202","310,826","323,439",18.46,"386,505",-3.09
2316,楠梓電,"411,922","439,074","398,406","443,980",-6.18,"435,219",-5.35
